RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Diameter Right [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Video Time [h:m:s:ms],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
1460911.4,15:02:16:552,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,0.0,394.5,256.6,0.0,0.0,0.0,0.0,0.0,00:00:00:000,-,-,-,-,-,-,-,-
1460927.5,15:02:16:568,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,0.0,391.8,248.7,0.0,0.0,0.0,0.0,0.0,00:00:00:000,-,-,-,-,-,-,-,-
1460944.1,15:02:16:585,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,0.0,391.8,248.7,0.0,0.0,0.0,0.0,0.0,00:00:00:032,-,-,-,-,-,-,-,-
1460960.7,15:02:16:601,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,0.0,387.7,235.0,0.0,0.0,0.0,0.0,0.0,00:00:00:032,-,-,-,-,-,-,-,-
1460977.3,15:02:16:618,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,0.0,-,-,0.0,0.0,0.0,0.0,0.0,00:00:00:066,-,-,-,-,-,-,-,-
1460994.1,15:02:16:635,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,0.0,378.3,187.3,0.0,0.0,0.0,0.0,0.0,00:00:00:066,-,-,-,-,-,-,-,-
1461010.6,15:02:16:651,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,-16.4,161.9,-64.5,-173.2,0.5,0.3,0.8,00:00:00:099,-,-,-,-,-,-,-,-
1461027.4,15:02:16:668,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,-15.8,158.8,-64.0,-176.9,0.5,0.3,0.8,00:00:00:099,-,-,-,-,-,-,-,-
1461043.8,15:02:16:684,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,-9.1,162.3,-56.5,-171.5,0.5,0.3,0.8,00:00:00:132,-,-,-,-,-,-,-,-
1461060.4,15:02:16:701,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,85.1,270.4,-65.3,-190.3,0.5,0.3,0.8,00:00:00:132,-,-,-,-,-,-,-,-
1461077.0,15:02:16:718,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,-17.0,144.1,-65.6,-195.7,0.5,0.3,0.8,00:00:00:166,-,-,-,-,-,-,-,-
1461093.7,15:02:16:734,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,12.1,178.3,-32.9,-147.8,0.5,0.3,0.8,00:00:00:166,-,-,-,-,-,-,-,-
1461110.2,15:02:16:751,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,3.8,165.2,-42.3,-165.5,0.5,0.3,0.8,00:00:00:199,-,-,-,-,-,-,-,-
1461127.1,15:02:16:768,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,-1.3,156.4,-48.1,-177.5,0.5,0.3,0.8,00:00:00:199,-,-,-,-,-,-,-,-
1461143.2,15:02:16:784,Trial001,Ethan lane 6_1-8-recording.avi,0.0,196540.3,Ethan lane 6_1,DarkOliveGreen,100.0,Eye,Blink,1,4.0,13.2,177.0,-31.7,-149.3,0.5,0.3,0.8,00:00:00:232,-,-,-,-,-,-,-,-
