RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Diameter Right [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Video Time [h:m:s:ms],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
566313.0,14:47:21:953,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,230.4,160.8,-38.8,-407.7,0.4,0.5,0.8,00:00:00:000,-,-,-,-,-,-,-,-
566329.2,14:47:21:969,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,228.8,140.0,-21.6,-379.0,0.4,0.5,0.8,00:00:00:000,-,-,-,-,-,-,-,-
566345.8,14:47:21:986,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,233.1,139.2,-13.5,-367.5,0.4,0.5,0.8,00:00:00:032,-,-,-,-,-,-,-,-
566362.3,14:47:22:002,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,237.7,136.3,-1.1,-355.1,0.4,0.4,0.8,00:00:00:032,-,-,-,-,-,-,-,-
566379.3,14:47:22:019,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,263.2,-195.3,-8.7,-375.6,0.4,0.5,0.8,00:00:00:032,-,-,-,-,-,-,-,-
566395.6,14:47:22:036,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,271.3,-170.3,-0.7,-360.1,0.4,0.4,0.8,00:00:00:066,-,-,-,-,-,-,-,-
566412.4,14:47:22:052,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,295.6,-140.7,28.4,-302.9,0.4,0.4,0.8,00:00:00:066,-,-,-,-,-,-,-,-
566428.8,14:47:22:069,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,270.0,192.6,37.0,-285.4,0.4,0.4,0.8,00:00:00:099,-,-,-,-,-,-,-,-
566445.3,14:47:22:085,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,271.0,192.8,36.2,-296.1,0.4,0.4,0.8,00:00:00:099,-,-,-,-,-,-,-,-
566462.0,14:47:22:102,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,273.4,196.5,39.9,-290.7,0.4,0.4,0.8,00:00:00:132,-,-,-,-,-,-,-,-
566478.6,14:47:22:119,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,270.3,185.9,32.0,-318.5,0.4,0.4,0.8,00:00:00:166,-,-,-,-,-,-,-,-
566495.1,14:47:22:135,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,275.3,191.2,42.9,-302.3,0.4,0.4,0.8,00:00:00:166,-,-,-,-,-,-,-,-
566511.8,14:47:22:152,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,272.0,184.8,31.9,-334.1,0.4,0.4,0.8,00:00:00:199,-,-,-,-,-,-,-,-
566528.3,14:47:22:168,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,4.0,284.5,191.0,56.0,-287.8,0.4,0.4,0.8,00:00:00:199,-,-,-,-,-,-,-,-
566545.0,14:47:22:185,Trial001,Ethan lane 3-3-recording.avi,0.0,191910.3,Ethan lane 3,DarkGoldenrod,99.8,Eye,Blink,1,0.0,-,-,0.0,0.0,0.0,0.0,0.0,00:00:00:232,-,-,-,-,-,-,-,-
