RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Diameter Right [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Video Time [h:m:s:ms],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
317330.0,14:43:12:961,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.2,235.1,271.7,-103.2,0.2,0.3,0.9,00:00:00:000,-,-,-,-,-,-,-,-
317346.6,14:43:12:978,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.2,235.1,271.7,-103.2,0.2,0.3,0.9,00:00:00:000,-,-,-,-,-,-,-,-
317363.2,14:43:12:994,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.2,235.1,271.7,-103.2,0.2,0.3,0.9,00:00:00:032,-,-,-,-,-,-,-,-
317379.8,14:43:13:011,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.2,235.1,271.7,-103.2,0.2,0.3,0.9,00:00:00:032,-,-,-,-,-,-,-,-
317396.4,14:43:13:027,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.2,235.1,271.7,-103.2,0.2,0.3,0.9,00:00:00:066,-,-,-,-,-,-,-,-
317413.2,14:43:13:044,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.2,235.1,271.7,-103.2,0.2,0.3,0.9,00:00:00:066,-,-,-,-,-,-,-,-
317429.7,14:43:13:061,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.0,236.5,271.7,-103.2,0.2,0.3,0.9,00:00:00:099,-,-,-,-,-,-,-,-
317446.1,14:43:13:077,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.9,239.1,273.2,-98.1,0.2,0.3,0.9,00:00:00:132,-,-,-,-,-,-,-,-
317462.8,14:43:13:094,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,435.9,239.1,273.2,-98.1,0.2,0.3,0.9,00:00:00:132,-,-,-,-,-,-,-,-
317479.3,14:43:13:110,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,437.2,237.6,274.8,-97.7,0.2,0.3,0.9,00:00:00:166,-,-,-,-,-,-,-,-
317496.0,14:43:13:127,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,437.2,237.6,274.8,-97.7,0.2,0.3,0.9,00:00:00:166,-,-,-,-,-,-,-,-
317512.5,14:43:13:144,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:166,-,-,-,-,-,-,-,-
317529.1,14:43:13:160,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:199,-,-,-,-,-,-,-,-
317545.7,14:43:13:177,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:199,-,-,-,-,-,-,-,-
317562.3,14:43:13:193,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:232,-,-,-,-,-,-,-,-
317579.1,14:43:13:210,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:232,-,-,-,-,-,-,-,-
317595.5,14:43:13:227,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:266,-,-,-,-,-,-,-,-
317612.3,14:43:13:243,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,439.4,250.7,277.7,-88.3,0.2,0.3,0.9,00:00:00:266,-,-,-,-,-,-,-,-
317628.7,14:43:13:260,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,438.9,255.9,276.2,-88.7,0.2,0.3,0.9,00:00:00:299,-,-,-,-,-,-,-,-
