RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Diameter Right [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Video Time [h:m:s:ms],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
808557.5,14:51:24:197,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,417.3,222.0,268.2,-191.5,0.2,0.4,0.9,00:00:00:000,-,-,-,-,-,-,-,-
808574.5,14:51:24:214,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,396.0,207.6,268.2,-191.5,0.2,0.4,0.9,00:00:00:000,-,-,-,-,-,-,-,-
808590.7,14:51:24:230,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,382.0,200.0,268.2,-191.5,0.2,0.4,0.9,00:00:00:032,-,-,-,-,-,-,-,-
808607.2,14:51:24:247,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,334.1,92.6,268.2,-191.5,0.2,0.4,0.9,00:00:00:032,-,-,-,-,-,-,-,-
808624.1,14:51:24:264,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,346.3,117.7,268.2,-191.5,0.2,0.4,0.9,00:00:00:066,-,-,-,-,-,-,-,-
808640.5,14:51:24:280,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,343.1,129.9,268.2,-191.5,0.2,0.4,0.9,00:00:00:066,-,-,-,-,-,-,-,-
808657.3,14:51:24:297,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,340.2,139.4,268.2,-191.5,0.2,0.4,0.9,00:00:00:099,-,-,-,-,-,-,-,-
808673.7,14:51:24:313,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,340.1,146.6,267.6,-194.2,0.2,0.4,0.9,00:00:00:099,-,-,-,-,-,-,-,-
808690.3,14:51:24:330,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,335.0,147.2,267.6,-194.2,0.2,0.4,0.9,00:00:00:132,-,-,-,-,-,-,-,-
808707.1,14:51:24:347,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,338.5,153.3,268.4,-187.7,0.2,0.4,0.9,00:00:00:132,-,-,-,-,-,-,-,-
808723.4,14:51:24:363,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,336.7,156.8,268.4,-187.7,0.2,0.4,0.9,00:00:00:166,-,-,-,-,-,-,-,-
808740.2,14:51:24:380,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,334.7,157.6,268.4,-187.7,0.2,0.4,0.9,00:00:00:166,-,-,-,-,-,-,-,-
808756.6,14:51:24:396,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,332.7,157.3,268.4,-187.7,0.2,0.4,0.9,00:00:00:166,-,-,-,-,-,-,-,-
808773.5,14:51:24:413,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,332.7,160.7,268.4,-187.7,0.2,0.4,0.9,00:00:00:199,-,-,-,-,-,-,-,-
808790.1,14:51:24:430,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,331.4,159.6,268.4,-187.7,0.2,0.4,0.9,00:00:00:232,-,-,-,-,-,-,-,-
808806.6,14:51:24:446,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,331.7,161.1,268.4,-187.7,0.2,0.4,0.9,00:00:00:232,-,-,-,-,-,-,-,-
808823.1,14:51:24:463,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,333.1,162.1,268.4,-187.7,0.2,0.4,0.9,00:00:00:266,-,-,-,-,-,-,-,-
808839.6,14:51:24:479,Trial001,Ethan lane 4-4-recording.avi,0.0,193288.1,Ethan lane 4,DarkGray,99.2,Eye,Blink,1,4.0,330.2,166.4,268.4,-187.7,0.2,0.4,0.9,00:00:00:266,-,-,-,-,-,-,-,-
