RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Binocular,Index Binocular,Pupil Diameter Right [mm],Point of Regard Binocular X [px],Point of Regard Binocular Y [px],Point of Regard Right X [px],Point of Regard Right Y [px],Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Video Time [h:m:s:ms],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
0.008766669999976884,14:43:26:503,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,313.3,-15.3,242.1,18.2,0.3,0.2,0.9,00:00:13:541,-,-,-,-,-,-,-,-
0.02526666999997751,14:43:26:520,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,326.3,102.9,247.0,35.1,0.3,0.2,0.9,00:00:13:541,-,-,-,-,-,-,-,-
0.04206667000002362,14:43:26:536,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,216.5,107.9,242.5,24.0,0.3,0.2,0.9,00:00:13:574,-,-,-,-,-,-,-,-
0.05846666999998895,14:43:26:553,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,0.0,388.9,-101.5,0.0,0.0,0.0,0.0,0.0,00:00:13:574,-,-,-,-,-,-,-,-
0.07496666999998958,14:43:26:569,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,270.2,72.6,219.8,-37.1,0.3,0.2,0.9,00:00:13:607,-,-,-,-,-,-,-,-
0.09146666999998843,14:43:26:586,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,294.1,-51.5,211.3,-68.3,0.3,0.3,0.9,00:00:13:607,-,-,-,-,-,-,-,-
0.10816667000000102,14:43:26:603,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,0.0,385.7,-331.3,0.0,0.0,0.0,0.0,0.0,00:00:13:640,-,-,-,-,-,-,-,-
0.12476666999997654,14:43:26:619,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,188.9,108.6,194.7,-128.3,0.3,0.3,0.9,00:00:13:640,-,-,-,-,-,-,-,-
0.14136667000001246,14:43:26:636,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,161.5,90.8,185.8,-148.4,0.3,0.3,0.9,00:00:13:673,-,-,-,-,-,-,-,-
0.15796666999998799,14:43:26:652,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,282.1,-76.3,189.1,-131.1,0.3,0.3,0.9,00:00:13:673,-,-,-,-,-,-,-,-
0.1745666700000239,14:43:26:669,Trial001,Ethan lane 2-2-recording.avi,0.0,189404.7,Ethan lane 2,DarkCyan,99.5,Eye,Blink,1,4.0,281.4,-78.0,187.8,-135.5,0.3,0.3,0.9,00:00:13:706,-,-,-,-,-,-,-,-
